start,end,text
366.16,371.759,अपने में दोष दिखाई दे तो अहंकार और जब
369.68,374.8,हमें दूसरों में दोष दिखाई दे अपने में
371.759,378.639,सद्गुण तो अहंकार बढ़ा हुआ है। ये अहम ही
374.8,383.36,भोगता है। अहम ही करता है। अहंकार विमूढ़
378.639,387.52,आत्मा कर्ता मन्यते तब तक अटैक होगा। यह
383.36,391.759,तीनों अटैक कर सकते हैं। कंचन कामिनी और
387.52,394.08,यश कीर्ति प्रतिष्ठा जो पुत्रेष्णा वित्त
391.759,396.96000000000004,और लोकेष्णा शास्त्री शब्दों में कहे जाते
394.08,400.08,हैं। अहम पर इसका अटैक होता है।
396.96,402.23999999999995,देहाभिमानी जीव जब अपने को पुरुष या
400.08,406.0,स्त्री रूप में देखता है तो काम भाव उसके
402.24,408.08,अंदर आएगा। देहाभिमानी जीव जब अपने शरीर
406.0,411.36,सुख की आकांक्षा करता है तो उसे अर्थ की
408.08,413.75899999999996,चाहना होगी। देहाभिमानी जीव जब अपने को
411.36,416.0,गुणवान समझता है तो यश कीर्ति की कामना
413.759,418.72,होगी। और अगर ये तीनों हैं तीनों में से
416.0,422.72,एक भी है तो भगवत प्राप्ति नहीं होती।
418.72,426.72,पुत्रष्णा वित्त लोक तीनों को मिटा दे। मन
422.72,431.52000000000004,वचन कर्म से भगवान की शरण में हो गए। और
426.72,433.91900000000004,केवल केवल हमें भगवान चाहिए। ब्रह्मर्षि
431.52,438.479,वाल्मीकि जी महाराज भगवान श्री राम से
433.919,442.08,कहते हैं जननी सम
438.479,444.56,जानहु पर नारी
442.08,448.4,धन पराए
444.56,450.8,बिते विष भारी
448.4,452.88,जिनह राम
450.8,455.12,तुम प्राण
452.88,458.96,पियारे
455.12,460.8,तिनके मन शुभ सदन
458.96,467.19899999999996,तुम्हारे
460.8,472.72,तुम ही छाड़ी गति दूसरी ना
467.199,475.28000000000003,बसहु राम तिनके मन माही
472.72,478.56,काम क्रोध
475.28,487.52,मदमान न मोहा
478.56,492.24,लोभ न शोभ राग नहीं द्रोहा जिनके कपट दंभ
487.52,496.79999999999995,नहीं माया तिनके हृदय
492.24,501.599,बसहु रघुराया सरल भाव से भगवान की शरण में
496.8,505.44,होकर नाम जप करो जबान का स्वाद छोड़ दो तो
501.599,507.84,जनेंद्रिय की मांग खत्म हो जाएगी जबान का
505.44,510.479,स्वाद छोड़ दिया तो कंचन की मांग खत्म हो
507.84,512.959,जाएगी क्योंकि रुपया प्रिय नहीं है रुपया
510.479,516.0,से भोग सामग्री मिलती है यह प्रियता रुपया
512.959,519.1999999999999,की है और अपना तन मन प्राण प्रभु को
516.0,522.0,समर्पित है अब यश कीर्ति प्रभु की है। अगर
519.2,524.5600000000001,कोई हमें प्रणाम करता है तो मेरे भगवान को
522.0,527.2,प्रणाम करता है। क्योंकि हम भगवान के बिके
524.56,529.8389999999999,हुए दास हैं। इस भाव से प्रणाम करता है।
527.2,532.88,कोई इस मल मूत्र के भांड शरीर को प्रणाम
529.839,536.8800000000001,नहीं करता। सबके शरीर यही है। एक बात को
532.88,539.8389999999999,प्रणाम करता है कि मैं जिस कसौटी पे चलना
536.88,542.8,चाहता उस कसौटी से विमुख हो गया और तुम
539.839,545.44,पास हो गए। तुमने सर्वस्व छोड़कर भगवान को
542.8,547.92,रिझाया इसलिए हम प्रणाम। तो भगवान को
545.44,551.12,प्रणाम होता है। वो गुरु को प्रणाम होता
547.92,554.7199999999999,है। सम्मानम कल्यात घोर गरलम नीचा अपमानम
551.12,558.24,सुधा श्री राधा मुरली धरो भज सके वृंदावन
554.72,560.9590000000001,मात सम्मान को विष के समान देखे अपमान को
558.24,564.48,अमृत के समान देखे और श्री राधा माधव का
560.959,566.959,निरंतर स्मरण करें तो भगवान के प्रताप से
564.48,569.44,कंचन कामिनी कीर्ति तीनों पर विजय
566.959,572.4799999999999,प्राप्ति की जा सकती है। अन्यथा एक छोटा
569.44,575.7600000000001,सा सड़ा सा विषय भी परास्त कर सकता है। एक
572.48,578.16,व्यसन नहीं छूटता। हमने देखा कि छोटे-छोटे
575.76,582.16,व्यसन अपना अधिकार कर लेते हैं। फिर
578.16,585.8389999999999,त्रिभुवन के भोग ब्रह्मादिक के भोग सब
582.16,588.959,विषम लागत ताई नारायण ब्रज चंद की लगन लगी
585.839,592.8800000000001,है जो भगवान से प्यार करता है उसे कोई
588.959,596.3199999999999,परास्त नहीं कर सकता। लेकिन अगर हम भगवान
592.88,598.8,को अपना नहीं माने तो फिर पाखंड विजय नहीं
596.32,602.08,प्राप्त कर सकता माया पर। दंभी भी विजय
598.8,604.7199999999999,नहीं प्राप्त कर सकता माया पर। और छोटा सा
602.08,607.839,भाव केवल उठा है और भगवान के सहारे चल
604.72,610.5600000000001,दिए। तो आज तक हम कहते हैं हमारे साथ कोई
607.839,613.44,रक्षा करने वाला नहीं था। पर जहां कहीं
610.56,615.1199999999999,कुछ ऐसे फंसाव की बात आई भगवान ने निकाल
613.44,617.7600000000001,दिया। बाद में मुझे पता चला कि यहां मैं
615.12,621.519,फंस सकता था। भगवान ने ऐसे बचाने सीम के
617.76,624.64,चाप सके को उतासु बल रखवार रमापति जासु
621.519,626.88,वही बचाते हैं वही जीवन भर अपने जन की
624.64,631.04,रक्षा करते हैं अपनी बुद्धि तो कहीं भी
626.88,635.279,फंस सकती है लेकिन भगवान हां भगवान करो
631.04,637.8389999999999,सदा तिनके रखवारी जि बालक राखे महातारी
635.279,640.32,जैसे बालक की रक्षा मां करती है वैसे
637.839,644.24,भगवान अपने भक्तों की रक्षा करते हैं तो
640.32,646.8000000000001,भगवान का भरोसा और लक्ष्य दृढ़ और ये कि
644.24,650.5600000000001,मर जा सकता हूं हूं लेकिन मैं गलत आचरण
646.8,653.519,नहीं कर सकता। जीत जाओगे। बस यह प्रण हो
650.56,655.5189999999999,जाए कि कुछ भी हो जाए मर सकता हूं। लेकिन
653.519,658.72,मैं अपने धर्म के विरुद्ध आचरण नहीं कर
655.519,660.9590000000001,सकता। जीत गया। फिसल गया तो इतने नीचे
658.72,663.519,गिरेगा कि उठने लायक नहीं रहेगा। ये माया
660.959,665.68,है। एक बार दवा लिया तो उठने नहीं दिया।
663.519,668.88,फिर वो बैलेंस बना के चलता है। भोगों को
665.68,672.3199999999999,भोगता है। थोड़ा भजन कर लेता है। बस वो आग
668.88,675.519,नहीं होती। वो विरह भगवान के लिए जो होना
672.32,678.88,चाहिए वो नहीं होता। फिर वो धीरे-धीरे रोग
675.519,681.6,लग जाता है भक्ति को पाखंड का दंभ का वो
678.88,684.32,फिर बस ऐसे
681.6,688.24,अर्थ प्राप्ति करना खाना पीना मौज मस्ती
684.32,691.6800000000001,खूब ऐसे नहीं खानपान ते भावे है नहीं कोमल
688.24,695.12,वचन सुहावे सब विषय लगे ते खा रहा है हरि
691.68,699.279,आशिक का मग न्यारा है जैसे चाहो वैसे रखो
695.12,702.079,पर बस आप मुझे मिलो आप चाहिए बड़ा कष्ट
699.279,705.279,में जीवन व्यतीत करते करते तब कहीं जाकर
702.079,707.519,शरीर राग छूटता है। अगर शुरू से ही शरीर
705.279,711.36,का पोषण होता रहा तो शरीर राग नहीं छूटता
707.519,713.839,है। बहुत बहुत भगवान की कृपा है। जो भगवान
711.36,716.8000000000001,के मार्ग में चाहे गृहस्थ हो चाहे विरक्त
713.839,719.2790000000001,जो माया से समय को खींचकर भगवान के सुमिरन
716.8,721.92,में लगाते हैं। वो अत्यंत कृपा पात्र हैं।
719.279,725.36,नहीं तो भगवती माया का ऐसा प्रभाव है। इस
721.92,728.24,संसार को सत्य मानकर भोगों को सत्य मानकर
725.36,732.399,पद प्रतिष्ठा को सत्य मानकर हम भगवान को
728.24,735.279,भूल जाते हैं। ना शरीर रहेगा ना पद रहेगा
732.399,738.959,ना रुपया रहेगा लाखों बार पढ़ाई पढ़ी है
735.279,741.279,ना पढ़ाई रहेगी अगर एक बार राम कहा है तो
738.959,744.4799999999999,त्रिकाल में कभी नष्ट नहीं होगा एक बार
741.279,747.04,कृष्ण कहा एक बार हरि कहा वो आपको उन्नति
744.48,749.44,देगा वो आपको कहीं ना कहीं भक्तों का
747.04,752.3199999999999,सानिध्य दिला के भगवत भक्ति का
749.44,755.0400000000001,प्रादुर्भाव करेगा इसलिए वो बड़े धन्यवाद
752.32,758.32,के पात्र हैं जो भगवान के मार्ग में अंदर
755.04,760.959,से चलते हैं। ये यात्रा अंदर की है। बाहर
758.32,764.399,से तो जो भी आरती पूजा यह तो सब क्रियाएं
760.959,766.959,हैं अंदर की बात यह बात अंदर की है
764.399,771.04,यात्राएं अंतर के अध्यात्म कहते हैं ना
766.959,773.4399999999999,इसे ये अंतर यात्रा है अंतर में घुस जाओ
771.04,775.1999999999999,अभी तो सब बाहर खेल खेल रहे हैं खिलौनों
773.44,779.44,में
775.2,785.9200000000001,संगम तजेत मिथुन नाम मुमक्षु सर्वात्मत
779.44,789.44,बहिंद्रण एक चरण ला मन ते युजी त साधुत
785.92,792.88,प्रसंगा सोरी जी का श्लोक है। मछली को
789.44,795.2,देखकर मैथुन करते हुए लगा इसमें सुख है तो
792.88,799.519,मानधाता की 50 पुत्रियों से ब्याह किया
795.2,803.12,था। राजा चक्रवर्ती सम्राट मानधाता।
799.519,806.32,फिर जब भोगों में कोई सुख तो है नहीं। तब
803.12,809.839,उन्होंने का धिक्कार है। क्या चूक हुई कि
806.32,813.7600000000001,कहां मैं अकेला भजन कर रहा था और कहां 50
809.839,816.32,के 500 बढ़ गए। संतान पुत्र तब उन्होंने
813.76,821.2,कहा जो मुमुक्षु मतलब मोक्ष प्राप्त करना
816.32,824.72,चाहता है संगम तजेत मिथुन नाम मुमक्षु संग
821.2,828.72,का त्याग कर दे कौन से संग जिनके संग
824.72,832.24,कुमति मति उपजेय करत भजन में भंग जाके
828.72,836.1600000000001,प्रिय न राम वैदेह तजिए ताह कोटि बैरीसम
832.24,838.639,जद्य परम स्नेह और नेत्रों से कोई गलत
836.16,840.88,आचरण अगर कहीं भी किसी पशु पक्षी में भी
838.639,844.0790000000001,दिखाई दे रहा है एक बार दृष्टि गई दोबारा
840.88,846.8,दृष्ट दृष्टि ना जाए खतरनाक चीज मोबाइल
844.079,849.199,साधु साधक के लिए तो बहुत खतरनाक है
846.8,852.4799999999999,क्योंकि जब मन चंचल हुआ सर्च किया पढ़े
849.199,856.0,लिखे लोग हैं वो जीवन की हानि हो जाएगी
852.48,859.12,जीवन की हानि गलत देखा तो फिर साधुता का
856.0,861.519,फिर नाटक ढोंग होगा साधुता नहीं हो सकती
859.12,864.639,और बड़े-बड़े मोबाइल सबके पास होते हैं
861.519,867.12,बहुत बचने की जरूरत है मोबाइल में दोनों
864.639,870.24,चीजें जड़ चेतन गुण दोष में विश्व की
867.12,872.8,करतार तो उसमें भी गुण है गुण है संतों का
870.24,875.36,"सत्संग संग सुन सकते हो, आवश्यक फोन कर"
872.8,879.68,"सकते हो, आवश्यक कार्य कर सकते हो। लेकिन"
875.36,883.04,दोष है कि गलत से गलत जो हम छोड़ने के लिए
879.68,886.0,भगवत मार्ग में आए वह सब आप देख सकते हो
883.04,888.079,और वो देखा तो फिर जो हम देखते हैं जो
886.0,889.92,सुनते हैं जो बोलते हैं उसी का मनन होता
888.079,892.2399999999999,है और जो मनन होता है वही क्रियाएं होती
889.92,895.04,है। रोक नहीं सकते। वही क्रियाएं होंगी।
892.24,898.48,इसलिए देखना सुनना बोलना पवित्र किया जाए।
895.04,902.079,भगवान के आश्रित रह जाए और भोजन जिसका सरस
898.48,904.639,उसका भजन नीरस और जिसका भोजन नहीं रस उसका
902.079,909.12,भजन सरस जीवन भर की बात अनुभव की बात कह
904.639,911.76,रहा हूं। भोजन सरस हम रात दिन एक गरीब
909.12,914.24,आदमी की तरह मेहनत करें। जैसे ओवरटाइम
911.76,916.48,गरीब आदमी पैसे के लिए ऐसे हम भजन के लिए
914.24,918.88,करें तो भगवान कृपा करते हैं। ये
916.48,922.0,त्रिगुणात्मिका माया को हटा देते हैं। यही
918.88,924.32,माया है कंचन कामिनी कीर्ति। हमें भ्रम हो
922.0,926.8,जाता है कि इसमें सुख है। अगर सुख होता तो
924.32,929.44,सब भोग रहे हैं। आनंदित हो जाते। विश्राम
926.8,931.68,मिल जाता। अब कछु नाथ ना चाहे मोरे। लेकिन
929.44,934.639,किसी का हृदय ऐसा नहीं कहता आप कछु नाथ ना
931.68,936.8,चाहिए चाह पे चाह तृष्णा भोगे हुए भोगों
934.639,939.44,को पुनः भोगने की तृष्णा इसलिए जो
936.8,943.04,वैराग्यवान है उनको बहुत सावधान रहना
939.44,945.839,चाहिए हां कस्तरति मायाम कस्तरति मायाम
943.04,950.079,देवर्षि नारद जी से कौन माया से तर सकता
945.839,953.12,है बोले यो संगास्त जति यो महानुभाव सेवते
950.079,955.4399999999999,जो महापुरुषों का संग करता है और कुसंग का
953.12,958.72,त्याग करता है निर्ममो भवती जो किसी से
955.44,962.0,ममता नहीं रखता सातति उतर जाता है इसलिए
958.72,964.639,"इसलिए कुसंग का त्याग, सत्संग का सेवन और"
962.0,968.0,ना अपने शरीर से ममता और ना किसी शरीर से
964.639,970.0,ममता। ममता तो केवल प्रभु से करनी है ना।
968.0,973.199,"उनके नाम में, उनके रूप में, उनके लीला"
970.0,976.48,"के, उनके धाम में तो ऐसे चलो तो कंचन काम"
973.199,979.3599999999999,और जितने भी विकार है सब शांत हो जाएंगे।
976.48,980.88,भगवान की कृपा से अहंकार के बल से नहीं
979.36,984.0,भगवान की कृपा से
980.88,988.639,धनम मदम तव पाद पंकजम
984.0,989.759,कद साक्षात करण चक्षुष कदा पुन संथांग
988.639,992.48,कल्पक [गला साफ़ करने की आवाज़]
989.759,995.1990000000001,ध्वजार
992.48,995.839,इसी को चरितार्थ करने के लिए दास बहुत
995.199,996.959,प्रयत्न
995.839,1000.0,हां बिल्कुल
996.959,1006.079,भगवान के चरणों का स्मरण करते रहिए और नाम
1000.0,1009.36,ना छूटे सब आ जाएगा देखो हम लोगों को कोई
1006.079,1013.04,कमी नहीं है जानकारी की किसी को भी आप
1009.36,1016.639,जानकारी सबको है लेकिन जानकारी का प्रयोग
1013.04,1019.5999999999999,करने के सामर्थ्य रहे जानकारी आप हम कहते
1016.639,1021.44,हैं गांव के आदमी से सुन लो संसार नाशवान
1019.6,1024.24,है यहां कुछ टिकने वाला नहीं कोई कुछ ले
1021.44,1026.4,नहीं जाएगा और सब कोई जानता है जब 100 ले
1024.24,1028.319,जाते हैं राम नाम सत्य है देखो सत्य का
1026.4,1030.24,ज्ञान है उनको कह रहे हैं राम नाम सत्य है
1028.319,1035.199,और जब परिवार के रोते हैं तो समझाते हैं
1030.24,1037.28,बैठकर अरे भाई का आज वो गया कल सबको जाना
1035.199,1039.76,लेकिन लेकिन वो जानकारी उनकी जानकारी नहीं
1037.28,1042.079,है। उस जानकारी का प्रयोग नहीं तो जानकारी
1039.76,1044.48,किस काम के? बंदूक लिए घूम रहे हो। दुश्मन
1042.079,1046.3999999999999,आया मार नहीं पाए। शत्रु आया उसको परास्त
1044.48,1048.559,नहीं कर पाए। अस्त्रवेदत्ता बनते हो तो
1046.4,1051.039,फायदा क्या हुआ? तो हमारे पास जानकारियां
1048.559,1053.36,तो बहुत है। लेकिन उसका प्रयोग नहीं है।
1051.039,1056.72,प्रयोग के लिए बल चाहिए और बल मिलता है
1053.36,1060.559,नाम से। जितना भजन करोगे उतने अध्यात्म
1056.72,1063.2,बलवान बनोगे। अगर भजन नहीं है तो उपदेश हो
1060.559,1065.12,सकता है। प्रणाम नमस्कार मिल सकते हैं।
1063.2,1068.32,रुपया पैसा मिल सकते हैं। वाहवाही मिल
1065.12,1072.08,सकती है। लेकिन भगवान का साक्षात्कार नहीं
1068.32,1075.52,वो तो बार मथे ग्रत होए बरु सिखताते ते बर
1072.08,1079.1999999999998,तेल और बिनु हरि भजन न भतरी या सिद्धांत
1075.52,1083.76,अपेल विनिश्चितम बदामते ना अन्यथा वच में
1079.2,1088.0,हरि भजनते नरा खूब डट के भजन भजन बस
1083.76,1091.52,जानकारी तो इतनी है कि पूछो मत उपदेश पे
1088.0,1097.12,उपदेश हो रहे हैं उपदेशों की कमी है लेकिन
1091.52,1099.12,पलट करके जब तो जीरो पे सुई खड़ी है। कोई
1097.12,1103.36,नंबर नहीं आया। अध्यात्म की कोई भूमिका
1099.12,1106.0,नहीं। जीरो पे तो फिर वो कैसे उत्तम होगा?
1103.36,1109.84,हमारी जानकारी हमको अध्यात्म की भूमिका पर
1106.0,1113.36,चढ़ावे। हम द्वंदों को सह हमारे अंदर वो
1109.84,1116.799,योग्यता आवे जो संतों की लक्षण बताए गए
1113.36,1118.6399999999999,हैं। वो भजन से आएंगे। सबको जानकारी है।
1116.799,1120.8799999999999,जैसे हम जानते हैं ये गलत है। फिर भी हम
1118.64,1123.2800000000002,कर रहे हैं। क्यों? क्योंकि हमारे पास भजन
1120.88,1125.8400000000001,की कमी है। भजन का बल ना होने के कारण
1123.28,1129.6,इंद्रिया मन बलवान होकर हमसे असत क्रिया
1125.84,1132.6399999999999,करा लेते हैं। भजन बल है ना तो जैसे सेल
1129.6,1137.12,हटा दो दीवाल घड़ी का तो मिनट पे मिनट
1132.64,1139.6000000000001,घंटे पे घंटे सुई वही ठप ऐसे वही ठप राधा
1137.12,1142.3999999999999,तो राधा वही मन और इंद्रियां बिल्कुल एक
1139.6,1144.559,मिलेंगी। ऐसा नहीं कि उनकी ताकतों की घसीट
1142.4,1147.44,ले। अभ्यास किस बात का? साधुता किस बात
1144.559,1150.3999999999999,की? भजन किस बात का? अब भजन नहीं करेंगे
1147.44,1152.72,तो फिर बहुत जन्मों से गुलामी है। ये
1150.4,1156.4,इंद्रियों और मन की बहुत जन्मों से गुलामी
1152.72,1159.2,है और इनकी गुलामी से हटे बिना स्वराज
1156.4,1160.96,सिंहासन पर नहीं बैठ सकते। आत्म स्वरूप
1159.2,1163.76,में स्थित नहीं जा सकता।
1160.96,1166.568,अशोक जी दिल्ली से
1163.76,1167.36,राधे-राधे महाराज जी महाराज जी
1166.568,1169.36,[गला साफ़ करने की आवाज़] कोई भी कार्य
1167.36,1171.52,करने से पहले दिमाग और दिल के बीच
1169.36,1173.28,कंफ्यूजन पैदा हो जाता है। इस समय पर
1171.52,1175.76,किसकी बात माने? दिल कुछ कह
1173.28,1178.24,बीच में इन दिमाग और दिल के बीच में प्रभु
1175.76,1181.44,को ले आओ।
1178.24,1185.1200000000001,प्रभु को ले आओ। फिर आपको उत्तर सही मिल
1181.44,1188.16,जाएगा। उस समय भगवान का स्मरण करने लगो कि
1185.12,1193.28,प्रभु इसमें मुझे क्या कहा? लंका में
1188.16,1195.8400000000001,प्रवेश करने के पहले हनुमान जी कि लंका
1193.28,1199.2,बहुत ही निशाचरी
1195.84,1206.3999999999999,वहां बोलबाला सब तो हनुमान जी कैसे प्रवेश
1199.2,1209.039,कर रहे हैं? प्रव नगर की जय सब का
1206.4,1213.3600000000001,हृदय राखी
1209.039,1216.64,कौशल पुर राजा दिल और दिमाग दोनों गंदे
1213.36,1218.559,हैं इनका काम क्या मानना है ये तो सपोर्ट
1216.64,1221.44,वही करेंगे जिससे वासनाओं की पूर्ति हो
1218.559,1224.16,जिससे स्वार्थ की पूर्ति हो जो हमें सही
1221.44,1226.72,निर्णय दे सकते हैं वह भगवान हम उस समय
1224.16,1229.2,भगवान का नाम सुमिरन करें भगवान से
